,OFFER,RETAILER,BRAND,PRODUCT_CATEGORY,IS_CHILD_CATEGORY_TO
69,"Beyond Steak™ Plant-Based seared tips, 10 ounce at Target",TARGET,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
70,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at H-E-B",H-E-B,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
71,"Beyond Steak™ Plant-Based seared tips, 10 ounce, buy 2 at Target",TARGET,BEYOND MEAT,"Plant-Based Meat, Frozen Plant-Based Meat, Packaged Meat",
72,"Bimbo® sweet baked goods, buy 2",,BIMBO,"Snack Cakes, Bread, Bakery, Cookies",
73,"Bio-Oil® Skincare Oil OR Gel, select varieties",,BIO OIL,"Skin Care, Cooking & Baking",
74,"Bio-Oil® products, select varieties",,BIO OIL,"Skin Care, Cooking & Baking",
75,Blue Apron Meal Kits,BLUE APRON,BLUE APRON,Cooking & Baking,Pantry
76,"Breyers Reese's Ice Cream, select varieties, at GIANT OR MARTIN’S",MARTINS FOODS,BREYERS,"Frozen Desserts, Frozen Breads & Doughs",
77,Brita® Pitcher AND Filter,,BRITA,"Water, Household Supplies",
78,Brita® Pitcher OR Dispenser,,BRITA,"Water, Household Supplies",
79,Brita® Standard OR Elite Filters,,BRITA,"Water, Household Supplies",
80,"Brownie Brittle® Snacks, select varieties, buy 2",,BROWNIE BRITTLE,"Bakery, Cookies",
81,"Bubbies Pickles, Sauerkraut, OR Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,Prepared Meals,Deli & Bakery
82,"Bubbies Pickles, Sauerkraut, and Condiments at Whole Foods or Sprouts",SPROUTS FARMERS MARKET,BUBBIES,Prepared Meals,Deli & Bakery
83,"Burt's Bee's® Facial Wipes, select varieties, 30 count at Walmart",WALMART,BURTS BEES,"Makeup, Skin Care, Hair Removal",
84,"Burt's Bees Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,"Makeup, Skin Care, Hair Removal",
85,"Burt's Bees® Sensitive Lotions and Creams, select varieties, at Walmart",WALMART,BURTS BEES,"Makeup, Skin Care, Hair Removal",
86,"Burt's Bees® products, select varieties, at Walmart",WALMART,BURTS BEES,"Makeup, Skin Care, Hair Removal",
87,"Butterball, select varieties, Spend $10 at Ruler Foods",RULER FOODS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
88,"Butterball, select varieties, spend $10 at Dillons Food Store",DILLONS FOOD STORE,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
89,"Butterball, select varieties, spend $10 at Food 4 Less",FOOD4LESS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
90,"Butterball, select varieties, spend $10 at Fred Meyer",FRED MEYER,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
91,"Butterball, select varieties, spend $10 at Fry's Food Store",FRYS FOOD STORE,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
92,"Butterball, select varieties, spend $10 at King Soopers",KING SOOPERS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
93,"Butterball, select varieties, spend $10 at Kroger",KROGER,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
94,"Butterball, select varieties, spend $10 at Mariano's",MARIANOS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
95,"Butterball, select varieties, spend $10 at Pick 'n Save OR Metro Market",PICK N SAVE,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
96,"Butterball, select varieties, spend $10 at QFC",QFC,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
97,"Butterball, select varieties, spend $10 at Ralphs",RALPHS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
98,"Butterball, select varieties, spend $10 at Smith's",SMITHS,BUTTERBALL,"Nut Butters & Jam, Frozen Turkey",
99,CESAR® Wet Dog Food Singles,,CESAR,"Cooking & Baking, Sauces & Marinades, Dog Supplies, Frozen Chicken",
100,"CESAR® Wet Dog Food, spend $20",,CESAR,"Cooking & Baking, Sauces & Marinades, Dog Supplies, Frozen Chicken",
101,"CORE® Hydration, select varieties, at Walmart",WALMART,CORE HYDRATION,Water,Beverages
102,"CORE® Hydration, select varieties, buy 2 at Walmart",WALMART,CORE HYDRATION,Water,Beverages
103,Cameron’s Coffee EcoPods,,CAMERON'S COFFEE,Coffee,Beverages
104,Cheerios™ Oat Crunch Berry Cereal,,CHEERIOS,"Cereal, Granola, & Toaster Pastries",Pantry
105,"Children's Astepro® Allergy, 22 count at Dollar General",DOLLAR GENERAL STORE,ASTEPRO,Medicines & Treatments,Health & Wellness
106,Chosen Foods® Dressings,,CHOSEN FOODS,"Cooking & Baking, Dips & Salsa, Dressings, Condiments",
107,"Chosen Foods® Mayo, select varieties",,CHOSEN FOODS,"Cooking & Baking, Dips & Salsa, Dressings, Condiments",
108,"Colgate® Toothpaste AND Colgate® Toothbrush, select varieties at Walmart or Target",TARGET,COLGATE TOOTHBRUSHES,Oral Care,Health & Wellness
109,"Cooked Perfect® Meatballs, Homestyle OR Turkey, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken,Frozen Meat
110,"Cooked Perfect® Meatballs, at Walmart",WALMART,COOKED PERFECT,Frozen Chicken,Frozen Meat
111,"Coors Light®, Miller Lite® OR VIZZY™ 12 pack+",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas, Malt Beverages",
112,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 2",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas, Malt Beverages",
113,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 3",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas, Malt Beverages",
114,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 4",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas, Malt Beverages",
115,"Coors Light®, Miller Lite® OR VIZZY™ 12 packs+, buy 5",,VIZZY,"Hard Seltzers, Sodas, Waters, Lemonades & Teas, Malt Beverages",
116,Country Crock® Plant Based Butter at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam,Pantry
117,Country Crock® Plant Based Cream at Walmart,WALMART,COUNTRY CROCK PLANT BUTTER,Nut Butters & Jam,Pantry
118,"Creativity Street®, spend $10",,CREATIVITY STREET,,
119,"Crunchmaster® Crackers, spend $4",,CRUNCHMASTER,"Crackers, Candy",
120,"DOVE® Chocolate, select sizes, buy 1",,DOVE CHOCOLATE,Candy,Snacks
121,"DOVE® chocolate, select varieties",,DOVE CHOCOLATE,Candy,Snacks
122,Degree for Men OR Women Dry Spray,,DEGREE,Deodorant & Antiperspirant,Health & Wellness
123,"Dixon® Safety Carpenter Pencil, 10 count, at Lowe’s®",LOWES HOME IMPROVEMENT,DIXON,"Cooking & Baking, Makeup",
124,"Dove Hand Wash, select varieties at Target",TARGET,DOVE,"Bath & Body, Deodorant & Antiperspirant, Hair Care, Makeup",
125,"Dove Hand Wash, select varieties, buy 2 at Target",TARGET,DOVE,"Bath & Body, Deodorant & Antiperspirant, Hair Care, Makeup",
126,"Dr Pepper®, Regular OR Zero Sugar Strawberries and Cream 12 pack, at select retailers",UNITED SUPERMARKETS,DR PEPPER,"Carbonated Soft Drinks, Cooking & Baking",
127,"Durex® Massage & Play 2 in 1 Pleasure Gel, select varieties, at Walmart or Target",TARGET,DUREX,"Medicines & Treatments, Sexual Health",
128,"EVOLVE® Plant-Based Protein Shake, 4 count, select varieties, at Whole Foods",WHOLE FOODS MARKET,EVOLVE,"Carbonated Soft Drinks, Meal Replacement Beverages, Frozen Turkey",
129,"EXTRA®, select sizes",,EXTRA,Gum,Candy
130,"EXTRA®, select varieties",,EXTRA,Gum,Candy
131,Egglife Egg White Wraps at Aldi,ALDI,EGGLIFE,Eggs,Dairy
132,Emmy's Organics® Cookies OR Brownie Snaps,,EMMYS POP UP,Cookies,Snacks
133,Envy Apples pre-packed bags,,ENVY,"Sauces & Marinades, Candy",
134,"Envy Apples, pre-packed bags",,ENVY,"Sauces & Marinades, Candy",
135,"Flonase Allergy Relief, at Walmart",WALMART,FLONASE,Medicines & Treatments,Health & Wellness
136,"Fresh Bakery Products at Casey's, select varieties",CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
137,"Fresh Bakery items, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
138,Fresh Step® Outstretch® Cat Litter,,FRESH STEP,"Medicines & Treatments, Bakery, Makeup, Bath & Body, Cooking & Baking, Hair Care",
139,"Fresh bakery item, select varieties, at Casey's",CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
140,Frozen OR Fountain Drink at Casey's,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
141,Frozen OR Fountain Drink at Casey's ,CASEYS GENERAL STORE,CASEYS GENERAL STORE,"Cooking & Baking, Frozen Pizza & Pizza Snacks",
142,"Frutero Ice Cream, 1 pint",,FRUTERO,"Frozen Desserts, Frozen Fruits",
143,"GATORADE® Fast Twitch®, 12-ounce 12 pack, at Amazon Storefront*",AMAZON,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
144,"GATORADE® Fast Twitch®, 12-ounce single serve",,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
145,"GATORADE® Fast Twitch®, 12-ounce single serve, at Kroger",DILLONS GROCERY,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
146,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FOOD4LESS,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
147,"GATORADE® Fast Twitch®, 12-ounce single serve, buy 2 at Kroger",FRED MEYER,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
148,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties",,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
149,"GATORLYTE® OR GATORADE™ Fit Single Serve Bottle, select varieties, buy 2",,GATORADE,"Sports Drinks, Medicines & Treatments, Meal Replacement Beverages",
150,"GOYA® Adobo Seasoning, 8 ounce+",,GOYA,"Cooking & Baking, Packaged Vegetables, Rice & Grains, Sauces & Marinades, Water, Packaged Meat, Frozen Vegetables, Cookies, Dry Pasta, Bread, Frozen Fruits, Drink Mixes, Soup & Broth, Fruit Juices, Frozen Meals, Frozen Appetizers, Pickled Goods, Malt Beverages, Dips & Salsa, Deli Counter, Milk, Pasta & Noodles, Frozen Chicken, Pudding & Gelatin, Carbonated Soft Drinks, Frozen Seafood, Nut Butters & Jam, Packaged Seafood, Crackers",
151,GOYA® Coconut Water,,GOYA,"Cooking & Baking, Packaged Vegetables, Rice & Grains, Sauces & Marinades, Water, Packaged Meat, Frozen Vegetables, Cookies, Dry Pasta, Bread, Frozen Fruits, Drink Mixes, Soup & Broth, Fruit Juices, Frozen Meals, Frozen Appetizers, Pickled Goods, Malt Beverages, Dips & Salsa, Deli Counter, Milk, Pasta & Noodles, Frozen Chicken, Pudding & Gelatin, Carbonated Soft Drinks, Frozen Seafood, Nut Butters & Jam, Packaged Seafood, Crackers",
152,"General Mills™ products, select brands, spend $35",,ANNIES HOMEGROWN GROCERY,"Cheese, Crackers, Fruit & Vegetable Snacks, Dressings, Cooking & Baking, Refrigerated Doughs, Packaged Vegetables, Frozen Meals, Chips, Frozen Pizza & Pizza Snacks, Cereal, Granola, & Toaster Pastries, Bread, Frozen Breakfast, Cookies, Soup & Broth",
153,"General Mills™ products, select brands, spend $7 at Convenience Stores",,ANNIES HOMEGROWN GROCERY,"Cheese, Crackers, Fruit & Vegetable Snacks, Dressings, Cooking & Baking, Refrigerated Doughs, Packaged Vegetables, Frozen Meals, Chips, Frozen Pizza & Pizza Snacks, Cereal, Granola, & Toaster Pastries, Bread, Frozen Breakfast, Cookies, Soup & Broth",
154,"General Mills™ products, select varieties, spend $12",,ANNIES HOMEGROWN GROCERY,"Cheese, Crackers, Fruit & Vegetable Snacks, Dressings, Cooking & Baking, Refrigerated Doughs, Packaged Vegetables, Frozen Meals, Chips, Frozen Pizza & Pizza Snacks, Cereal, Granola, & Toaster Pastries, Bread, Frozen Breakfast, Cookies, Soup & Broth",
155,"General Mills™ snacks, select brands, spend $10",,BUGLES,Chips,Snacks
156,"George's Farmers Market Chicken Wings, at Sam's Club",SAMS CLUB,GEORGES FARMERS MARKET,,
157,Gillette Venus ® for Pubic Hair & Skin,,GILLETTE VENUS,Hair Removal,Health & Wellness
158,Gillette Venus ® for Pubic Hair & Skin spend $20,,GILLETTE VENUS,Hair Removal,Health & Wellness
159,"Gillette Venus ® for Pubic Hair & Skin, spend $20",,GILLETTE VENUS,Hair Removal,Health & Wellness
160,Glad® ForceFlex Max Strength Trash Bags,,GLAD,"Household Supplies, Prepared Meals, Crackers, Food Storage",
161,"Glad® Trash Bags, 4 OR 8 Gallon",,GLAD,"Household Supplies, Prepared Meals, Crackers, Food Storage",
162,Good Humor Viennetta Frozen Vanilla Cake,,GOOD HUMOR,"Frozen Desserts, Dips & Salsa",
163,"Gorton's Air Fried Butterfly Shrimp, at Walmart",WALMART,GORTONS,"Frozen Seafood, Jerky & Dried Meat, Frozen Meals",
164,Gorton's at select retailers,STOP & SHOP,GORTONS,"Frozen Seafood, Jerky & Dried Meat, Frozen Meals",
165,Gorton's at select retailers,WALMART,GORTONS,"Frozen Seafood, Jerky & Dried Meat, Frozen Meals",
166,"Gorton's, at select retailers",SHOP RITE,GORTONS,"Frozen Seafood, Jerky & Dried Meat, Frozen Meals",
167,"Gorton's, at select retailers",STOP & SHOP,GORTONS,"Frozen Seafood, Jerky & Dried Meat, Frozen Meals",
168,Hellmann's | Best Foods Vegan Dressing or Spread,,HELLMANNS BEST FOODS,"Condiments, Sauces & Marinades, Dressings",
169,Hellmann's® OR Best Foods® AND Sargento® Cheese Slices,,HELLMANNS BEST FOODS,"Condiments, Sauces & Marinades, Dressings",
170,Hellmann's® OR Best Foods® Garlic Aioli OR Spicy Mayonnaise,,HELLMANNS BEST FOODS,"Condiments, Sauces & Marinades, Dressings",
171,"Hidden Valley® Ranch Night Seasoning Mix, 1 count",,HIDDEN VALLEY RANCH,"Dips & Salsa, Sauces & Marinades, Cooking & Baking",
172,"Hidden Valley® Ranch Salad Dressing OR Secret Sauce, select varieties",,HIDDEN VALLEY RANCH,"Dips & Salsa, Sauces & Marinades, Cooking & Baking",
173,"Hidden Valley® Ranch Seasoning Mix Packet, 1 count",,HIDDEN VALLEY RANCH,"Dips & Salsa, Sauces & Marinades, Cooking & Baking",
174,Hidden Valley® Ranch Seasoning Shaker,,HIDDEN VALLEY RANCH,"Dips & Salsa, Sauces & Marinades, Cooking & Baking",
175,"Hidden Valley® Ranch Seasoning, select varieties",,HIDDEN VALLEY RANCH,"Dips & Salsa, Sauces & Marinades, Cooking & Baking",
176,"Häagen-Dazs®, 28 ounce, at GROCERY* stores",,HAAGEN DAZS,Frozen Desserts,Frozen
177,"Jack Link's®, select varieties",,JACK LINKS,Jerky & Dried Meat,Snacks
178,Klondike Cones at Walmart ,WALMART,KLONDIKE,"Frozen Desserts, Frozen Meals",
179,"Klondike Cones, spend $10 at Walmart ",WALMART,KLONDIKE,"Frozen Desserts, Frozen Meals",
180,"Kodiak® products, select varieties, spend $10",,KODIAK CAKES FLAPJACK & WAFFLE MIX,"Cereal, Granola, & Toaster Pastries",Pantry
181,"Kradle, select products, online at Chewy.com",CHEWY,KRADLE,"Cooking & Baking, Dog Supplies",
182,"Kradle, select varieties, at Pet Supplies Plus",PET SUPPLIES PLUS,KRADLE,"Cooking & Baking, Dog Supplies",
183,"Kradle, select varieties, online at Amazon",AMAZON,KRADLE,"Cooking & Baking, Dog Supplies",
184,"Kradle, select varieties, spend $20 at Walmart",WALMART,KRADLE,"Cooking & Baking, Dog Supplies",
185,L'Oreal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,Makeup,Beauty
186,L'Oréal Paris Excellence Hair Color at Target,TARGET,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
187,"L'Oréal Paris Hair color, select varieties, spend $19 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
188,"L'Oréal Paris Hair color, select varieties, spend $25 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
189,"L'Oréal Paris Hair color, select varieties, spend $9 at Target",TARGET,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
190,"L'Oréal Paris Makeup, spend $30 at Target",TARGET,LOREAL PARIS COSMETICS,Makeup,Beauty
191,"L'Oréal Paris Makeup, spend $35 at Target",TARGET,LOREAL PARIS COSMETICS,Makeup,Beauty
192,"L'Oréal Paris Men Expert hair color, spend $19 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
193,L'Oréal Paris True Match Foundation at Target,TARGET,LOREAL PARIS COSMETICS,Makeup,Beauty
194,LIFE SAVERS®,,LIFESAVERS,Candy,Snacks
195,"LIFESAVERS®, any size, buy 1",,LIFESAVERS,Candy,Snacks
196,Little Bites® Spend $10 at Walmart®,WALMART,ENTENMANNS,"Snack Cakes, Cookies, Wine, Bakery",
197,"L’Oréal Paris Men Expert hair color, spend $9 at Walmart",WALMART,LOREAL PARIS HAIR COLOR,Hair Care,Health & Wellness
198,"M&M'S® chocolate candies, select varieties",,M&MS,Candy,Snacks
199,"M&M'S®, select sizes, buy 1",,M&MS,Candy,Snacks
200,"MTN DEW® Kickstart, 16-ounce 12 count, select varieties, at Amazon Storefront*",AMAZON,MOUNTAIN DEW,Carbonated Soft Drinks,Beverages
201,"Magnum Non-Dairy Hazelnut Crunch Ice Cream Bars, 3 count",,MAGNUM ICE CREAM,Frozen Desserts,Frozen
202,"Marinela® sweet baked goods, buy 2",,MARINELA,"Cookies, Snack Cakes, Candy",
203,"Michael Angelo's® OR Rao's® Frozen Entrees, spend $10",,RAO'S,"Sauces & Marinades, Dry Pasta, Frozen Meals, Alfredo & White Pasta Sauce, Red Pasta Sauce, Pasta & Noodles, Frozen Pizza & Pizza Snacks",
204,Michael Angelo's® Sauce at Walmart,WALMART,MICHAEL ANGELO'S,"Frozen Meals, Sauces & Marinades",
